trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.3, 'e': 0.08803683258237259}",20,5,26.729033430131842,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.08672613490173114}",20,12,14.615181052504672,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.08543495096732123}",20,10,15.953048303642891,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.08416299025731036}",25,16,3.1559135062366908,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.0829099665751727}",30,8,38.37821536006506,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.08167559798529346}",25,13,20.616996939506294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.08045960674953244}",30,14,17.175811426730732,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.07926171926473159}",20,8,20.556898106763015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.07808166600115317}",25,13,22.593736940694583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.0769191814418345}",25,19,11.307315849597654,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.07577400402284548}",20,9,21.428161139301956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.07464587607443561}",25,19,12.963516098799353,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.0735345437630571}",20,13,13.01045410521511,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
